team,sport,wins,losses,pct,source,players
East Lyme,girls-basketball,14,8,0.636,ciac,[]
East Windsor,boys-basketball,7,13,0.35,ciac,[]
East Windsor,girls-basketball,2,18,0.1,ciac,[]
Ellington,girls-basketball,17,5,0.773,ciac,[]
Ellington,boys-basketball,22,1,0.957,ciac,[]
Ellis Tech,boys-basketball,11,10,0.524,ciac,[]
Ellis Tech,girls-basketball,7,14,0.333,ciac,[]
Enfield,girls-basketball,20,3,0.87,ciac,[]
Enfield,boys-basketball,10,12,0.455,ciac,[]
Fairfield Ludlowe,boys-basketball,17,5,0.773,ciac,[]
Fairfield Ludlowe,girls-basketball,10,12,0.455,ciac,[]
Fairfield Prep,boys-basketball,17,6,0.739,ciac,[]
Fairfield Warde,girls-basketball,15,8,0.652,ciac,[]
Fairfield Warde,boys-basketball,12,10,0.545,ciac,[]
Farmington,boys-basketball,9,13,0.409,ciac,[]
Farmington,girls-basketball,12,10,0.545,ciac,[]
Fitch,boys-basketball,17,4,0.81,ciac,[]
Fitch,girls-basketball,9,12,0.429,ciac,[]
Foran,boys-basketball,9,14,0.391,ciac,[]
Foran,girls-basketball,9,13,0.409,ciac,[]
George Rogers Clark High Schoo,boys-basketball,0,0,0.0,none,[]
Gilbert,boys-basketball,5,15,0.25,ciac,[]
Gilbert,girls-basketball,8,14,0.364,ciac,[]
Glastonbury,boys-basketball,14,9,0.609,ciac,[]
Glastonbury,girls-basketball,4,15,0.211,ciac,[]
Goodwin Tech,girls-basketball,7,14,0.333,ciac,[]
Goodwin Tech,boys-basketball,0,20,0.0,ciac,[]
Granby Memorial,boys-basketball,18,4,0.818,ciac,[]
Granby Memorial,girls-basketball,13,8,0.619,ciac,[]
Grasso Tech,boys-basketball,18,4,0.818,ciac,[]
Grasso Tech,girls-basketball,1,17,0.056,ciac,[]
Greater Lawrence Technical Sch,boys-basketball,0,0,0.0,none,[]
Greater Lawrence Technical Sch,girls-basketball,0,0,0.0,none,[]
Greenwich,girls-basketball,21,2,0.913,ciac,[]
Greenwich,boys-basketball,7,11,0.389,ciac,[]
Griswold,boys-basketball,17,5,0.773,ciac,[]
Griswold,girls-basketball,13,10,0.565,ciac,[]
Guilford,boys-basketball,6,14,0.3,ciac,[]
Guilford,girls-basketball,13,10,0.565,ciac,[]
HMTCA,boys-basketball,4,15,0.211,ciac,[]
HMTCA/Bulkeley Girls Basketbal,girls-basketball,6,14,0.3,ciac,[]
HPHS/University,girls-basketball,3,14,0.176,ciac,[]
Haddam Killingworth,girls-basketball,16,8,0.667,ciac,[]
Haddam Killingworth,boys-basketball,16,7,0.696,ciac,[]
Haldane,boys-basketball,0,0,0.0,none,[]
Hale Ray,girls-basketball,16,8,0.667,ciac,[]
Hale Ray,boys-basketball,10,12,0.455,ciac,[]
Hall,girls-basketball,10,11,0.476,ciac,[]
Hall,boys-basketball,17,6,0.739,ciac,[]
Hamden,girls-basketball,12,10,0.545,ciac,[]
Hamden,boys-basketball,4,16,0.2,ciac,[]
Harding,boys-basketball,7,13,0.35,ciac,[]
Harding,girls-basketball,7,14,0.333,ciac,[]
Hartford Public,boys-basketball,18,6,0.75,ciac,[]
High School of Science & Techn,boys-basketball,0,0,0.0,none,[]
Hillhouse,boys-basketball,15,8,0.652,ciac,[]
Hillhouse,girls-basketball,16,7,0.696,ciac,[]
Holy Cross,boys-basketball,13,7,0.65,ciac,[]
Holy Cross,girls-basketball,12,10,0.545,ciac,[]
Housatonic Regional,boys-basketball,4,14,0.222,ciac,[]
Housatonic Regional,girls-basketball,10,12,0.455,ciac,[]
Immaculate,girls-basketball,9,13,0.409,ciac,[]
Immaculate,boys-basketball,5,15,0.25,ciac,[]
Innovation,boys-basketball,10,12,0.455,ciac,[]
Innovation,girls-basketball,17,6,0.739,ciac,[]
International,boys-basketball,10,12,0.455,ciac,[]
International Aerospace Bloomf,girls-basketball,19,5,0.792,ciac,[]
Joel Barlow,girls-basketball,18,6,0.75,ciac,[]
Joel Barlow,boys-basketball,13,10,0.565,ciac,[]
John J. Duggan Academy,boys-basketball,0,0,0.0,none,[]
Jonathan Law,boys-basketball,5,15,0.25,ciac,[]
Jonathan Law,girls-basketball,9,13,0.409,ciac,[]
KIPP NYC College Prep,boys-basketball,0,0,0.0,none,[]
Kaynor Tech,boys-basketball,11,10,0.524,ciac,[]
Kaynor Tech,girls-basketball,19,6,0.76,ciac,[]
Kennedy,girls-basketball,5,15,0.25,ciac,[]
Kennedy,boys-basketball,4,16,0.2,ciac,[]
Killingly,boys-basketball,15,7,0.682,ciac,[]
Killingly,girls-basketball,9,13,0.409,ciac,[]
