header,caption,home_team,away_team,home_rank,away_rank,home_score,away_score,home_record,away_record,bg_image,photo_cred
CIAC GIRLS BASKETBALL // SCC TOURNAMENT,FINAL,Sacred Heart,Sheehan,2,NR,34,27,19-2,19-5,https://scontent-phx1-1.cdninstagram.com/v/t51.82787-15/645829144_18361119685203959_4087192546222862877_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzg0NDQyODA2MjcyMTM1MjAzNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNjR4OTA4LnNkci5DMyJ9&_nc_ohc=ZDxgytVtQ5MQ7kNvwExIrgM&_nc_oc=Admi7aSImXG6BJPADwd14zr72-z6tyA1bcPIWIBnM2Eiiuoyl6KM4PYzRUw07q6hL3U&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_gid=lWeQ0CIjZQA6HqtxANxd6w&_nc_ss=8&oh=00_AfxrwfF-TAWG7KaDxnceu3a-mSaF1t6toTR7wOXIyfqkyQ&oe=69AC2515,steadyphotography
CIAC GIRLS BASKETBALL // CCC TOURNAMENT,FINAL,NWC,Rocky Hill,1,4,72,34,23-1,22-2,https://scontent-phx1-1.cdninstagram.com/v/t51.82787-15/615328785_18100851982880189_7165343307104683031_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=MzgwODg4ODYzODA2NzcyMzYwMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTc5NS5zZHIuQzMifQ%3D%3D&_nc_ohc=AIeHSqf_0wEQ7kNvwH2ek8E&_nc_oc=AdlTd_w8Um3Gw9KufLupRZ4-SkHfwszX8qfzGjdezmPMi7o9ZftmVxIjfOGQ1jraJSA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_gid=UxHGT8hCmFXHBiOoqU4r2Q&_nc_ss=8&oh=00_AfwVo-dUGidaP9FHtB1iZntYYPF1RjOQ8LuuXZ9QU5tdFQ&oe=69AC47EF,transparencyconcepts
CIAC GIRLS BASKETBALL // ECC DI TOURNAMENT,FINAL,Woodstock Academy,New London,NR,NR,41,47,18-5,16-6,https://scontent-phx1-1.xx.fbcdn.net/v/t1.15752-9/643920635_1420940856493337_4756852165810610977_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=fc17b8&efg=eyJxZV9ncm91cHMiOlsiaWdkX2Jlc3RfZWZmb3J0X2ltYWdlOmNvbnRyb2wiXX0%3D&_nc_ohc=gP77AcTu9IkQ7kNvwGvR1RE&_nc_oc=AdkSsuenoEAhml0P1CTn7p8xBkaESg9untzX2MqqX2sJCtccsbyRyeR2G1LLEsAyinw&_nc_zt=23&_nc_ht=scontent-phx1-1.xx&_nc_ss=8&oh=03_Q7cD4wFmJyvnVmKsUHCjuKVyDoHiNeI56u1055Y-yopuhdMG4Q&oe=69CDD87C,._shotbyz
CIAC GIRLS BASKETBALL // SWC TOURNAMENT,FINAL,NDP,Bethel,NR,NR,42,34,19-4,17-6,https://scontent-phx1-1.cdninstagram.com/v/t51.82787-15/639860702_17912741211300134_5756525477466437798_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzg0NDQwMTY5NjkwNzEyOTU3MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=VkXQSgji1HsQ7kNvwG2KsBv&_nc_oc=Adn5cgeG6v8nyZPKa6VVq-UcRXE7I_6nLV0oymaQJVEmPuINsamIxW1FQY9sPwxuqo4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_gid=uvSw_SAfaffbRWzN9po5Yw&_nc_ss=8&oh=00_AfxEn9o5sZCgJ_rGTGY4ThKbfE9c-8yjQGRqhnUEQOpSyg&oe=69AC1C1D,bernie.productions
CIAC GIRLS BASKETBALL // NCCC TOURNAMENT,FINAL,Coventry,Suffield,10,NR,64,46,21-2,20-3,https://scontent-phx1-1.cdninstagram.com/v/t51.82787-15/608828036_18071268581608392_3087630727410871084_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzc5OTQ5MzEwOTQzNzI3MjE4MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0Mzl4MTYyMi5zZHIuQzMifQ%3D%3D&_nc_ohc=7En9PW-RULcQ7kNvwH_q9uK&_nc_oc=Adn5MWUMbCSncLr3vZWzsWwd8I3uuPbBDgz6xmY3YRDHBDUvk-UTFG4MrFkaapc0Wsk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_gid=5CwcWXE3ToEgG8UL01wwaA&_nc_ss=8&oh=00_Afx_XJOkC2Fedng3OBc0NvtG5kWwOvFDLTGs9N80M3b-9A&oe=69AC2B86,strike4media
